G1,G2,G3,G4,G5,G6,G7,G8 ,G9,G10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0.17561,0.22483,0.26475,0.30814,0.35085,0.37644,0.3507,0.27819,0.23997,0.16859,0.23291,0.27041,0.3093,0.34642,0.42057,0.35958,0.34447,0.24228,0.23655,0.206,0.19724,0.24566,0.26074,0.29215,0.23226,0.16421,0.11334,0,0,0,0.26068,0.30821,0.31527,0.37791,0.32447,0.21279,0.11575,0,0,0,0.29998,0.35733,0.35925,0.2943,0.35335,0.27398,0.1881,0,0,0,0.77661,0.77661,0.78166,0.78324,0.78728,0.82322,0.78082,0.81826,0.78888,0.67631,0.25971,0.41305,0.42309,0.46349,0.27561,0.31659,0.28274,0.21876,0,0,0.21979,0.25607,0.27766,0.28216,0.33229,0.30503,0.087743,0.087743,0,0
0.16793,0.20979,0.24144,0.2783,0.31634,0.36191,0.37697,0.38855,0.29687,0.25539,0.33364,0.36207,0.38738,0.43361,0.45177,0.46401,0.40081,0.33018,0.17601,0.11601,0.20658,0.26628,0.32029,0.32622,0.2775,0.30058,0.2812,0.28801,0.24145,0.14066,0.42317,0.46118,0.47597,0.49497,0.53231,0.40634,0.38389,0.30192,0.3238,0.32687,0.49818,0.49818,0.51657,0.54061,0.47457,0.42549,0.41436,0.34297,0.34019,0.24295,0.27739,0.31001,0.34063,0.40046,0.35034,0.39261,0.26872,0.26872,0.27808,0.27808,0.29339,0.30432,0.31481,0.4289,0.39386,0.39386,0.39386,0.35171,0.35171,0.26236,0.28479,0.37323,0.41066,0.42475,0.44754,0.43693,0.4489,0.49667,0.44651,0.40376
0.17389,0.22572,0.26688,0.31235,0.35417,0.37064,0.3846,0.42595,0.35178,0.30022,0.32775,0.37734,0.43021,0.48502,0.54577,0.57235,0.60425,0.6138,0.3789,0.36507,0.23066,0.27473,0.29785,0.31788,0.32243,0.36138,0.25402,0.13457,0.11242,0.11242,0.4261,0.45462,0.4918,0.5071,0.45368,0.45642,0.38969,0.36377,0.39623,0.43279,0.37246,0.43579,0.40776,0.38914,0.41331,0.37191,0.24134,0.14771,0.20679,0,0.40725,0.45692,0.55228,0.62073,0.61125,0.64333,0.46825,0.47462,0.46091,0.42448,0.30962,0.29725,0.34035,0.37498,0.32105,0.21922,0.25508,0.32796,0.32796,0,0.28623,0.32836,0.34882,0.40315,0.4217,0.40913,0.43227,0.49013,0.33506,0.29815
0.16835,0.22045,0.26333,0.30445,0.34698,0.37583,0.36692,0.35248,0.25977,0.22258,0.3714,0.43102,0.47955,0.51795,0.56817,0.62234,0.63338,0.62879,0.53245,0.5463,0.3619,0.4114,0.44226,0.45888,0.48177,0.47519,0.39295,0.20984,0.16282,0.15307,0.2775,0.28879,0.27993,0.26573,0.27347,0.32798,0.24081,0.24081,0,0,0.36167,0.3814,0.38269,0.37306,0.32898,0.22017,0.18061,0,0,0,0.44101,0.45763,0.4941,0.51391,0.53046,0.52487,0.50497,0.52623,0.41981,0.49738,0.23458,0.27892,0.26181,0.3002,0.34831,0.28726,0.17068,0.17068,0,0,0.13383,0.17487,0.20385,0.18944,0.12411,0.03363,0,0,0,0
0.24732,0.29847,0.34064,0.37588,0.41714,0.46737,0.49856,0.49688,0.46809,0.41154,0.4273,0.48161,0.54478,0.63197,0.68902,0.77007,0.76099,0.77254,0.80379,0.75493,0.51691,0.5604,0.57637,0.54638,0.57838,0.58102,0.56839,0.60086,0.54918,0.40981,0.37058,0.4352,0.46602,0.54691,0.4816,0.60922,0.51027,0.52814,0.33763,0.33763,0.28187,0.33373,0.38173,0.51221,0.58814,0.63044,0.56061,0.49108,0.56401,0.63138,0.49114,0.52433,0.56621,0.58588,0.61164,0.60821,0.66298,0.53957,0.53082,0.17043,0.47351,0.47351,0.4467,0.46508,0.47568,0.45234,0.39114,0.39114,0.42759,0,0.32078,0.34578,0.3689,0.37759,0.37555,0.29371,0.33612,0.34661,0.25613,0.30264
0.3188,0.37561,0.4194,0.46671,0.51643,0.55873,0.59041,0.60761,0.58656,0.53566,0.45872,0.52208,0.56472,0.60879,0.66993,0.69916,0.76362,0.79767,0.66182,0.61242,0.61559,0.64147,0.6754,0.7341,0.67437,0.71103,0.69977,0.7245,0.74113,0.61596,0.43369,0.45655,0.49088,0.51982,0.52869,0.55686,0.58801,0.39682,0.41216,0.43422,0.49159,0.55302,0.57553,0.57899,0.60099,0.6182,0.43079,0.50806,0.34644,0.31291,0.98327,1.0074,1.053,1.0909,1.0979,1.0154,1.0708,1.1004,1.0628,0.99551,0.49725,0.51753,0.5417,0.52331,0.58571,0.53786,0.5437,0.56929,0.39201,0,0.50607,0.52237,0.53951,0.55423,0.56373,0.59121,0.60138,0.57844,0.47721,0.41681
0.17447,0.21801,0.25246,0.28883,0.3259,0.33996,0.36152,0.32808,0.27754,0.16277,0.26713,0.31062,0.34634,0.34943,0.38415,0.41186,0.3719,0.2023,0.10903,0,0.24831,0.30338,0.34766,0.35555,0.32684,0.29894,0.23022,0.16223,0.12489,0.082574,0.30206,0.33007,0.40094,0.43506,0.46329,0.49308,0.3874,0.46498,0.33512,0.38188,0.32862,0.35223,0.36947,0.35175,0.33653,0.26254,0.07434,0,0,0,0.56492,0.61719,0.62225,0.62846,0.63147,0.63752,0.67185,0.65021,0.58241,0.32831,0.43395,0.50438,0.51959,0.46468,0.43864,0.46366,0.44122,0.279,0.33197,0.32009,0.34345,0.38245,0.42099,0.44464,0.43932,0.465,0.36234,0.39016,0.20725,0.074773
0.1892,0.23146,0.26655,0.30684,0.32361,0.33769,0.3272,0.27295,0.24622,0.096597,0.24113,0.28255,0.30129,0.31741,0.2769,0.22635,0.26366,0.17985,0.063403,0,0.32803,0.37894,0.45298,0.46133,0.49598,0.48719,0.44554,0.34855,0.22484,0.10758,0.39235,0.45319,0.4823,0.48428,0.48428,0.46179,0.47948,0.4272,0.36029,0,0.30248,0.32401,0.33409,0.35808,0.15583,0,0,0,0,0,0.53752,0.58722,0.60428,0.63975,0.71943,0.69716,0.64477,0.60405,0.59818,0.50187,0.31683,0.34675,0.32386,0.34881,0.37923,0.3831,0.35977,0.35977,0.21004,0,0.33519,0.365,0.39432,0.42343,0.39796,0.37869,0.3396,0.26471,0.20218,0.10717
0.24926,0.29976,0.34477,0.38289,0.42465,0.46442,0.49664,0.47926,0.43136,0.40037,0.3833,0.39854,0.43698,0.45311,0.48529,0.46693,0.44332,0.3902,0.3893,0.34442,0.38208,0.40808,0.44106,0.46842,0.55915,0.53685,0.45275,0.48836,0.29161,0.25072,0.52054,0.53692,0.53093,0.55747,0.56053,0.56844,0.53389,0.47924,0.3639,0.12447,0.46953,0.47716,0.49752,0.52731,0.53189,0.58733,0.553,0.58062,0.46766,0.45864,0.81811,0.82303,0.83378,0.84478,0.85398,0.89346,0.97198,0.90311,0.96471,0.96411,0.29177,0.35816,0.36282,0.35312,0.43297,0.48206,0.39359,0,0,0,0.50835,0.52419,0.54868,0.555,0.56985,0.59109,0.55169,0.5466,0.45614,0.42037
0.23892,0.30415,0.36246,0.41276,0.45863,0.48719,0.5144,0.49942,0.49714,0.42816,0.43961,0.4904,0.51249,0.52158,0.53129,0.57893,0.57375,0.5182,0.49905,0.3429,0.43152,0.45546,0.47861,0.50444,0.4846,0.48229,0.44921,0.42072,0.42938,0.33822,0.58089,0.60752,0.60764,0.60619,0.5989,0.60687,0.62701,0.62119,0.40067,0.40022,0.43602,0.45012,0.46453,0.46859,0.47007,0.51463,0.38021,0,0,0,0.97199,0.97199,0.97199,0.97199,0.97199,0.96856,0.96102,0.94561,0.97539,0.93101,0.34257,0.41761,0.35841,0.35674,0.35887,0.362,0.24992,0.22846,0,0,0.68304,0.68775,0.69004,0.69196,0.70194,0.69406,0.70224,0.69081,0.64301,0.64788
