G1,G2,G3,G4,G5,G6,G7,G8 ,G9,G10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
17.996,17.26,15.396,12.824,10.299,8.0215,6.1776,4.815,3.8128,2.9973,4.9782,4.8868,4.523,4.0064,3.3926,2.8073,2.3207,1.7827,1.513,1.3582,3.68,3.5487,3.3603,2.8064,2.3607,1.8286,1.2397,0.77401,0.5721,0.34319,2.8509,2.8009,2.7156,2.5103,2.1349,1.6824,1.2035,0.66642,0.28346,0,2.7592,2.7239,2.6902,2.2203,1.7231,1.5459,1.0146,0.87746,0.44303,0.44303,10.609,10.609,10.556,10.471,10.226,9.5248,8.6829,7.6724,7.0351,6.0679,2.4013,2.3602,2.2342,2.0788,1.7167,1.4623,1.3553,1.2175,0.7477,0.58483,4.214,4.0929,3.7096,2.9019,2.2045,1.5771,1.0608,0.85956,0.40855,0.34366
17.727,17.065,15.121,12.159,9.2339,6.9387,4.7968,3.3711,2.2602,1.6968,7.0769,7.0226,6.7416,6.0557,5.3934,4.6607,3.3973,2.5171,1.7665,1.3112,4.481,4.3848,4.0185,3.4726,2.8197,2.2256,1.7279,1.6094,1.1978,1.0444,5.119,5.0618,4.9047,4.6472,4.2988,3.5521,3.0841,2.2063,2.0883,1.5412,4.7273,4.7273,4.5892,4.4997,4.1633,3.212,2.671,1.8975,1.4415,1.2689,3.9131,3.8351,3.5653,3.0589,2.7251,2.0185,1.6239,1.3549,1.1398,1.1398,2.7252,2.6717,2.6253,2.2672,1.8169,1.7267,1.7267,1.4611,1.4611,1.1225,6.9381,6.7848,6.5263,5.9365,5.3281,4.5702,3.7823,3.2158,2.6261,2.1064
17.059,16.381,14.8,12.544,10.163,7.73,5.5415,4.0685,2.857,1.9008,7.3417,7.2341,6.9341,6.5253,5.6744,4.9028,4.3433,3.7517,2.7338,1.5784,4.9564,4.7965,4.5427,3.9158,3.4675,2.6146,2.0656,1.5389,1.2723,0.9655,5.0349,5.0043,4.8179,4.638,4.0654,3.6932,2.8621,2.3325,2.2097,1.9282,3.4138,3.3805,3.2433,3.0341,2.965,2.4443,2.0042,1.3745,0.91664,0.57047,5.6033,5.5334,5.2206,5.0229,4.7286,4.3424,3.7947,3.5266,3.3242,2.4593,2.5421,2.525,2.403,2.2364,2.0939,1.5292,1.1977,0.94811,0.94811,0.77285,8.0127,7.8854,7.4835,6.4736,5.4222,4.3176,3.2143,2.4612,1.7239,1.2135
16.885,16.161,14.276,11.924,9.5259,7.0965,5.4245,4.0259,2.6557,1.9122,7.4356,7.3625,7.0641,6.6056,6.0955,5.2741,4.8265,4.1651,3.5632,2.8761,7.2654,7.2081,6.9683,6.684,5.8507,4.7692,3.7296,2.7221,1.9064,1.5201,2.574,2.5715,2.451,2.156,1.7031,1.2033,0.74595,0.63375,0.50295,0.35818,3.2179,3.1724,3.0766,2.8104,2.3873,1.8391,1.1683,0.65263,0.34485,0,6.4404,6.4256,6.1292,5.7215,5.1116,4.4757,4.0929,3.5502,2.6954,2.2217,2.3115,2.2533,2.0804,1.8221,1.5377,1.2617,0.80852,0.80852,0.36512,0.19086,3.2493,3.0632,2.5397,1.9004,1.3453,0.88171,0.67493,0.47718,0.13907,0.076277
23.208,22.676,21.069,18.729,15.762,12.618,10.309,7.7959,6.1262,4.6582,6.8123,6.7812,6.519,6.1424,5.6963,5.2867,5.1361,4.1304,3.6574,3.1991,10.361,10.309,10.147,9.841,9.2325,8.5474,7.5566,6.4876,5.2049,4.1314,3.6761,3.6348,3.4679,3.3545,3.1758,2.7102,2.5329,2.4219,1.9154,1.6322,3.0912,3.0232,2.8261,2.571,2.3696,2.1978,1.9813,1.5927,1.4425,1.2676,6.9801,6.9726,6.7748,6.5733,6.3284,5.3425,4.9543,3.9205,3.0777,2.243,3.6279,3.6279,3.5089,3.4673,3.2754,2.8273,2.4983,2.4983,1.8947,1.0222,8.7731,8.6502,8.1687,7.217,6.1251,4.1324,2.616,1.6555,1.3657,0.97528
27.068,26.654,25.415,23.398,20.851,18.193,15.362,12.603,10.379,8.2035,7.7242,7.6693,7.4592,7.21,6.6726,6.256,5.0766,4.6527,4.1796,3.7195,11.697,11.687,11.471,11.028,10.794,9.9227,9.5252,8.8307,8.3548,6.8783,4.6506,4.6398,4.4993,4.3763,4.091,3.5136,3.3316,2.7802,2.527,1.8388,3.885,3.8608,3.8359,3.7796,3.2738,3.0986,2.8729,2.5004,2.0574,1.8788,11.987,11.986,11.915,11.838,11.737,11.605,10.975,10.687,10.362,9.8759,4.3918,4.391,4.3214,4.0894,3.8002,3.342,3.2317,3.1116,2.6483,1.4514,13.748,13.695,13.431,12.934,11.86,10.379,8.7541,6.9628,5.4126,3.8189
17.356,16.67,14.831,12.283,9.3561,7.0769,4.992,3.3669,2.1831,1.3898,5.6867,5.5704,5.3266,4.7257,4.1032,3.3395,2.3557,1.5365,1.0618,0.82866,4.1109,4.0179,3.7782,3.3584,2.8157,2.3059,1.911,1.4932,1.0738,0.84642,3.5202,3.4456,3.1653,2.9599,2.6623,2.352,1.9784,1.7619,1.6381,1.5011,3.0646,3.0261,2.9527,2.6492,2.434,1.729,1.1763,0.78191,0.16446,0,8.0036,7.9506,7.8082,7.7336,7.3748,6.8518,5.8903,5.4308,4.0248,3.0737,3.3386,3.2984,3.2307,3.0725,2.9396,2.7595,2.6468,2.0193,1.5863,1.2624,9.3859,9.2634,8.7577,8.2103,6.882,5.7736,4.4311,3.0851,1.8422,0.94405
19.595,18.861,16.948,14.077,11.105,8.039,5.6648,3.6706,2.4534,1.3459,4.8747,4.7752,4.447,3.7177,3.1123,2.3662,1.972,1.3955,1.0598,0.45014,6.6898,6.571,6.2122,5.8018,5.1649,4.4579,3.4639,2.6387,2.011,1.0912,4.0507,4.0003,3.9319,3.7212,3.6594,3.5126,3.0588,2.4047,1.8989,1.1894,2.6338,2.5946,2.4016,2.2507,1.8816,1.2646,1.0491,0.80512,0.52109,0.18068,7.8328,7.7595,7.5885,7.2644,6.8637,6.5452,6.2213,5.2889,4.852,3.8823,2.2608,2.2388,2.1806,2.1313,1.9239,1.7428,1.5154,1.5154,0.9214,0.41712,8.9281,8.8081,8.2995,7.6197,6.4927,4.9707,3.9231,2.512,1.5967,0.74141
22.141,21.617,20.157,18.063,15.449,12.651,9.7056,7.2671,5.2399,3.8427,8.385,8.3167,7.9988,7.2707,6.101,5.3385,4.2376,3.2997,2.8291,2.2978,6.8429,6.8015,6.5861,5.9711,5.4685,5.0241,4.2786,3.635,2.7468,2.1158,5.2248,5.2228,5.0999,4.8984,4.7134,4.5586,4.1859,3.091,2.3679,1.5281,4.8335,4.8,4.6693,4.2055,3.8579,3.2997,2.8574,2.4671,2.0187,1.6935,11.395,11.381,11.348,11.245,11.028,10.382,9.4384,8.7976,8.1533,7.7959,2.9563,2.8987,2.7653,2.4576,2.2668,1.9029,1.5666,0.91914,0.77737,0.77737,13.371,13.325,13.068,12.52,11.678,10.125,8.3911,6.9444,5.2735,3.8395
21.939,21.387,19.817,17.613,15.139,12.694,9.9848,7.7388,5.867,4.413,9.6996,9.6365,9.4165,9.0537,8.1041,7.375,6.1687,5.0977,4.3457,3.183,9.4123,9.3596,9.0477,8.66,7.8045,6.8068,5.5023,4.3907,2.9456,2.1698,5.9549,5.9363,5.869,5.7907,5.6117,5.3891,4.8486,4.1929,3.3161,2.463,4.3577,4.3353,4.2731,3.834,3.3134,2.9559,1.9837,1.3238,1.1665,0.47349,13.003,13.003,13.003,13.003,13.003,12.932,12.603,11.571,9.9672,8.7609,2.9753,2.9408,2.8224,2.6697,2.5344,2.1594,1.7187,1.1976,0.60632,0.60632,17.822,17.819,17.77,17.553,16.872,15.499,13.621,11.284,8.9446,6.9658
