G1,G2,G3,G4,G5,G6,G7,G8 ,G9,G10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0.25086,0.32898,0.3977,0.45838,0.50868,0.48322,0.42149,0.31121,0.27426,0.19774,0.30941,0.36821,0.4357,0.51013,0.49139,0.41377,0.36872,0.27966,0.26303,0.206,0.28266,0.35011,0.37356,0.39378,0.30489,0.18878,0.11334,0,0,0,0.30276,0.36329,0.37056,0.43667,0.41604,0.30328,0.13042,0,0,0,0.33398,0.39842,0.40605,0.32757,0.4177,0.34382,0.1881,0,0,0,0.78,0.78,0.79288,0.80274,0.82719,0.88048,0.82994,0.89556,0.85539,0.72699,0.28916,0.43453,0.43798,0.48857,0.29948,0.31659,0.32785,0.21876,0,0,0.2813,0.32787,0.37011,0.38416,0.40336,0.32911,0.087743,0.087743,0,0
0.2507,0.32087,0.3861,0.46138,0.51565,0.54099,0.53685,0.48317,0.36382,0.28716,0.40301,0.44121,0.49014,0.56888,0.60275,0.62892,0.52297,0.40895,0.19791,0.11601,0.27498,0.35,0.42993,0.43613,0.34997,0.35867,0.31046,0.3039,0.24145,0.14066,0.45866,0.50848,0.54995,0.56679,0.64367,0.49107,0.46857,0.37876,0.40887,0.40552,0.51482,0.51482,0.5478,0.56854,0.54279,0.61894,0.5278,0.34297,0.39548,0.24295,0.33406,0.37671,0.43321,0.49883,0.41607,0.43886,0.26872,0.26872,0.32136,0.32136,0.34688,0.347,0.37246,0.48287,0.39386,0.39386,0.39386,0.40844,0.40844,0.26236,0.35108,0.45796,0.51363,0.55445,0.52729,0.52312,0.53591,0.56083,0.52372,0.44551
0.25927,0.34111,0.40886,0.48029,0.53649,0.56756,0.55729,0.53202,0.4255,0.33351,0.40066,0.46677,0.5346,0.58303,0.66936,0.72042,0.77698,0.81789,0.45908,0.36507,0.29807,0.37229,0.41428,0.43264,0.43293,0.43166,0.32765,0.15117,0.11242,0.11242,0.46712,0.50736,0.56642,0.59855,0.55441,0.58379,0.41806,0.38968,0.42678,0.48081,0.41055,0.48479,0.4531,0.45322,0.46607,0.43993,0.331,0.14771,0.20679,0,0.45778,0.51999,0.63945,0.69638,0.64437,0.69142,0.5065,0.49326,0.49507,0.45961,0.33588,0.31604,0.37612,0.42276,0.34799,0.25213,0.25508,0.32796,0.32796,0,0.33837,0.39961,0.44232,0.52935,0.55369,0.55854,0.49479,0.51644,0.35061,0.31371
0.24345,0.32401,0.39481,0.44888,0.5029,0.51731,0.48781,0.44631,0.31106,0.2692,0.43582,0.50783,0.57833,0.62127,0.66837,0.72543,0.72259,0.67936,0.5844,0.62126,0.41893,0.47373,0.52301,0.55363,0.60974,0.61022,0.51173,0.27837,0.20049,0.19227,0.31004,0.30942,0.29092,0.32448,0.38674,0.35106,0.24081,0.24081,0,0,0.38934,0.39952,0.42046,0.40359,0.44179,0.3318,0.2093,0,0,0,0.46994,0.49089,0.55319,0.57906,0.60329,0.65972,0.58007,0.63261,0.52436,0.56746,0.2579,0.31764,0.2949,0.3203,0.37468,0.31651,0.17068,0.17068,0,0,0.18962,0.26276,0.29969,0.25886,0.1694,0.042292,0,0,0,0
0.32602,0.39621,0.46148,0.52543,0.59357,0.64148,0.66542,0.61695,0.55524,0.48212,0.4994,0.56256,0.64482,0.71368,0.77787,0.8366,0.84658,0.84135,0.88499,0.84089,0.54829,0.5903,0.6175,0.59167,0.64372,0.68163,0.69323,0.71289,0.63385,0.48566,0.42821,0.49945,0.57258,0.63551,0.53516,0.66995,0.57571,0.59932,0.33763,0.33763,0.34193,0.42893,0.47152,0.5972,0.62198,0.63044,0.65354,0.49108,0.56401,0.63138,0.53826,0.57189,0.63371,0.67554,0.70449,0.74959,0.82261,0.68831,0.61818,0.22609,0.49955,0.49955,0.4847,0.50311,0.50892,0.47941,0.5081,0.5081,0.47827,0,0.35933,0.39594,0.43795,0.48878,0.52849,0.46196,0.43815,0.39446,0.26993,0.30264
0.39851,0.47117,0.53258,0.59882,0.66906,0.72285,0.77258,0.77783,0.74966,0.67271,0.52593,0.60276,0.65501,0.71311,0.77515,0.79263,0.86409,0.85646,0.7098,0.67661,0.64147,0.66567,0.71363,0.79232,0.73248,0.7933,0.7808,0.79449,0.7889,0.71718,0.471,0.49739,0.53137,0.56708,0.59951,0.6392,0.66174,0.43814,0.4791,0.47852,0.55574,0.62593,0.64603,0.66325,0.76344,0.71471,0.50168,0.60211,0.39879,0.31291,1.0112,1.0342,1.0803,1.1023,1.12,1.0417,1.1251,1.1569,1.0917,1.0254,0.55216,0.57559,0.60509,0.60031,0.68675,0.665,0.66756,0.68639,0.52869,0,0.53085,0.55203,0.58337,0.6198,0.6692,0.73087,0.74464,0.69363,0.60578,0.56277
0.25555,0.32759,0.39345,0.4619,0.52493,0.524,0.51704,0.42695,0.3322,0.17983,0.34501,0.4097,0.4586,0.51231,0.57062,0.52466,0.40757,0.2023,0.10903,0,0.31494,0.37932,0.44211,0.43367,0.39209,0.34316,0.27536,0.22498,0.14747,0.082574,0.35837,0.40298,0.45326,0.49151,0.49618,0.52031,0.44534,0.46498,0.33512,0.38188,0.38682,0.40681,0.43767,0.44897,0.40199,0.31326,0.07434,0,0,0,0.59364,0.64852,0.65281,0.66566,0.70237,0.74525,0.80897,0.77133,0.73296,0.37933,0.48394,0.56812,0.59332,0.50568,0.43864,0.46366,0.46698,0.279,0.37958,0.32009,0.3851,0.43402,0.48972,0.52769,0.55679,0.59928,0.51436,0.51271,0.27457,0.074773
0.26322,0.33133,0.39313,0.45868,0.49151,0.50576,0.49695,0.40436,0.31595,0.10834,0.30902,0.36733,0.41395,0.43334,0.37752,0.29449,0.32939,0.21785,0.063403,0,0.38226,0.45359,0.53272,0.55958,0.60775,0.60967,0.58429,0.4125,0.25333,0.10758,0.43186,0.48366,0.50919,0.48453,0.48453,0.49387,0.53676,0.56006,0.46073,0,0.34738,0.39007,0.43126,0.43241,0.22262,0,0,0,0,0,0.56795,0.62801,0.66821,0.72499,0.78545,0.69716,0.64477,0.69074,0.6988,0.56146,0.34484,0.38144,0.34535,0.37037,0.43126,0.45737,0.46766,0.46766,0.21004,0,0.36822,0.4087,0.4513,0.48365,0.50037,0.51507,0.48465,0.3463,0.23388,0.11764
0.32959,0.39951,0.46579,0.52749,0.58678,0.63088,0.66391,0.63877,0.54536,0.47693,0.41968,0.44309,0.49844,0.5561,0.63069,0.56013,0.5544,0.46572,0.48585,0.41128,0.4393,0.4754,0.51533,0.54247,0.63684,0.61867,0.54048,0.5781,0.33251,0.32306,0.54293,0.55883,0.54589,0.59146,0.61426,0.62955,0.64359,0.60602,0.49042,0.12447,0.49119,0.50978,0.54665,0.63133,0.69346,0.64063,0.553,0.63205,0.51909,0.45864,0.828,0.83613,0.85314,0.87393,0.89765,0.964,1.0478,0.96071,0.99598,1.0164,0.33878,0.38135,0.41178,0.42063,0.46279,0.53607,0.39359,0,0,0,0.53616,0.55606,0.59099,0.6115,0.65347,0.71556,0.65838,0.68205,0.5627,0.50359
0.31736,0.40204,0.47983,0.55197,0.61399,0.65246,0.66415,0.64423,0.61202,0.52936,0.48381,0.54114,0.57541,0.60856,0.63309,0.69899,0.70944,0.67971,0.64655,0.40071,0.47268,0.50013,0.54747,0.58738,0.56784,0.59914,0.56478,0.52499,0.49551,0.4335,0.61373,0.64207,0.63647,0.62908,0.64386,0.66585,0.72092,0.75594,0.46606,0.40022,0.44851,0.46933,0.48731,0.55742,0.60465,0.64449,0.41305,0,0,0,0.97199,0.97199,0.97199,0.97199,0.97199,0.97654,0.99256,1.0388,1.0979,1.1305,0.37843,0.45541,0.37464,0.3993,0.41126,0.41506,0.24992,0.22846,0,0,0.69054,0.6959,0.70218,0.71613,0.74488,0.78528,0.81358,0.81214,0.74596,0.77401
